ID,NAME,
1293460,雨中曲,
1307332,冷山,
25787888,八恶人,
1441238,面纱,
1296778,一树梨花压海棠,
1294371,摩登时代,
1436870,死神来了3,
5323957,安德的游戏,
1309020,全民情敌,
1293825,漂亮女人,
1292226,2001太空漫游,
1304899,速度与激情,
1301746,汉尼拔,
1853176,斯巴达300勇士,
1304641,红磨坊,
2969282,七磅,
1298525,碟中谍2,
1301890,浓情巧克力,
23331914,狂怒,
2368641,情人节,
1301726,兵临城下,
1291842,当哈利遇到莎莉,
4164444,127小时,
1293173,古墓丽影,
3011093,成长教育,
21349734,博物馆奇妙夜3,
1296141,控方证人,
1298586,木乃伊归来,
2028669,丁丁历险记,
3041269,永无止境,
3895511,遗落战境,
1307542,火柴人,
1305666,时时刻刻,
1305725,大卫·戈尔的一生,
1296217,一级恐惧,
1947549,生死狙击,
1793903,幻影凶间,
3804629,招魂,
3338862,终结者：创世纪,
1297689,少数派报告,
1304056,茜茜公主,
1301617,不一样的天空,
1291839,银翼杀手,
3006783,机械师,
22939161,星际迷航3：超越星辰,
2132930,速度与激情4,
1474180,触不到的恋人,
1291836,戴珍珠耳环的少女,
1301345,偷天换日,
3217169,勇士,
1300069,偷天陷阱,
1293181,惊魂记,
1301509,修女也疯狂,
1293135,101真狗,
1293353,小鬼当家2,
1433990,风雨哈佛路,
1292973,小鸡快跑,
1292229,天生杀人狂,
1292326,暴力街区,
1295045,天才瑞普利,
1300117,千钧一发,
1294990,勇敢者的游戏,
1300555,回到未来,
1294950,四个婚礼和一个葬礼,
1300992,完美的世界,
1829654,憨豆的黄金周,
1293555,电子情书,
1397546,追随,
1297544,国家公敌,
25790761,东方快车谋杀案,
1294766,泰山,
1300303,我是谁,
1297131,圣诞夜惊魂,
26303622,大空头,
1293167,生死时速,
1292348,洛城机密,
3743114,黄海,
1467044,魔术师,
6097775,艺术家,
1295253,美国派,
3217149,忍者神龟：变种时代,
1298759,狗镇,
1309160,机械师,
1292344,十二罗汉,
1291562,黑暗中的舞者,
1440703,爱再来一次,
1295965,我最好朋友的婚礼,
1299080,后窗,
1292267,银河系漫游指南,
11610281,敢死队3,
6845667,秘密特工,
1307442,速度与激情2,
2997134,创：战纪,
1972698,守望者,
1295686,盗火线,
4724373,死神来了5,
1293399,莫扎特传,
3819877,活埋,
25955491,罪恶之家,
1306939,推手,
1863955,另一个波琳家的女孩,
1293838,星球大战,
1296384,心理游戏,
1300220,莎翁情史,
1305333,终结者3,
3275168,单身男子,
1294362,星球大战前传1：幽灵的威胁,
1293434,王牌对王牌,
1293527,美国X档案,
1471507,十三罗汉,
2974278,蓝色情人节,
1293792,异形2,
1299193,理智与情感,
1293145,费城故事,
1300613,土拨鼠之日,
1300945,云中漫步,
1307697,芝加哥,
3569943,命运规划局,
1307389,憨豆特工,
1299362,保镖,
3009161,守法公民,
1300055,全金属外壳,
1293764,与狼共舞,
1309064,八面埋伏,
1305053,红龙,
1764796,机器人9号,
1298909,魔鬼代言人,
1291840,走出非洲,
3023164,点球成金,
4116480,菲利普船长,
1309078,星球大战前传3：西斯的复仇,
1401535,虎胆龙威4,
1304485,穿越时空爱上你,
1294183,黑洞频率,
1309070,飞行家,
1304643,侏罗纪公园3,
1292268,好家伙,
1302303,原罪,
1306662,死亡幻觉,
1292234,漫长的婚约,
1293537,空军一号,
1291859,布拉格之恋,
1292260,现代启示录,
24860563,招魂2,
3592859,囚徒,
1297785,星球大战前传2：克隆人的进攻,
2369549,公众之敌,
4767216,憨豆特工2,
1477448,南极大冒险,
1296528,星球大战2：帝国反击战,
1294941,大白鲨,
1297965,窈窕淑女,
1306607,K星异客,
1292288,公民凯恩,
3626372,大地惊雷,
1305541,缘分天注定,
1295647,超时空接触,
1401118,黄金三镖客,
5387041,浮生一日,
1306154,罗密欧与朱丽叶,
1292697,虎胆龙威,
1482055,少年汉尼拔,
1432180,生死停留,
25908051,间谍之桥,
1292925,伴我同行,
1292529,机器管家,
1296992,洛丽塔,
3011049,姐姐的守护者,
1294323,第一滴血,
1300282,异次元骇客,
1296717,夺宝奇兵,
3073073,简爱,
1295120,风语战士,
1293050,永不妥协,
1297151,星球大战3：绝地归来,
1292718,大河恋,
1297929,异形3,
1304608,剑鱼行动,
1295318,大话王,
1304898,训练日,
1890572,坠入,
1299153,异形4,
3026357,老爷车,
2010975,澳洲乱世情,
1309071,天国王朝,
1299769,第六感生死缘,
1441801,局内人,
1293908,城市之光,
1450031,启示,
1296987,安妮·霍尔,
1578509,蝴蝶效应2,
1299383,最后的武士,
1294829,拜见岳父大人,
4915107,留下我,
3169043,我的名字叫可汗,
1294621,神秘拼图,
1294037,未来水世界,
1294490,上帝也疯狂2,
1292769,世界末日,
1292699,东方快车谋杀案,
1299092,回到未来2,
2336737,米尔克,
7051900,宿醉3,
25955779,忍者神龟2：破影而出,
1292067,冰血暴,
1299981,惊声尖笑,
1309116,怒火救援,
3077413,蝴蝶效应3：启示,
1305306,心慌方2：超立方体,
1303010,蒙娜丽莎的微笑,
1306421,惊变28天,
1300685,克莱默夫妇,
1322848,奇爱博士,
1295872,西北偏北,
1296157,迷墙,
1301715,美国精神病人,
3236904,自闭历程,
1301061,纽约黑帮,
1293799,壮志凌云,
1299837,虎胆龙威3,
1306737,极限特工,
1298189,极速60秒,
1293470,透明人,
1296666,回到未来3,
26339213,无名女尸,
1297294,迷魂记,
1316693,心慌方·零,
1292332,移魂都市,
1291833,杯酒人生,
1292792,我自己的爱达荷,
2028647,行动目标希特勒,
1293824,蝴蝶梦,
1293755,驱魔人,
1292531,华尔街,
1293317,断箭,
1304338,决战猩球,
10485526,潜伏2,
1293374,热天午后,
1300537,虎胆龙威2,
22263645,猜火车2,
1578503,美国黑帮,
2336735,生命之树,
2338160,无翼鸟,
3011072,珍爱,
1301886,居家男人,
1293731,忠奸人,
1292065,疤面煞星,
1293749,生活多美好,
1292550,埃及艳后,
1295644,这个杀手不太冷,
1291561,千与千寻,
3793023,三傻大闹宝莱坞,
1291546,霸王别姬,
3742360,让子弹飞,
1929463,少年派的奇幻漂流,
1652587,阿凡达,
1292213,大话西游之大圣娶亲,
1292215,天使爱美丽,
2129039,飞屋环游记,
2131459,机器人总动员,
4920528,那些年，我们一起追的女孩,
1291549,放牛班的春天,
3011091,忠犬八公的故事,
4739952,初恋这件小事,
1889243,星际穿越,
1291560,龙猫,
1292063,美丽人生,
1307914,无间道,
1299398,大话西游之月光宝盒,
10574622,人再囧途之泰囧,
1485260,本杰明·巴顿奇事,
1292220,情书,
